347.0839, target plane transform 0.1247434 1.07796 0.302036 0 0 0 1
347.0839, grid mapping [0 0 0 -0.125  0.125 -0.0002566278 1.20296 0.327036] [3 1 0 -0.125  0 -0.0002566278 1.07796 0.327036] [6 2 0 -0.125  -0.125 -0.0002566278 0.9529604 0.327036] [1 0 1 0  0.125 0.1247434 1.20296 0.327036] [4 1 1 0  0 0.1247434 1.07796 0.327036] [7 2 1 0  -0.125 0.1247434 0.9529604 0.327036] [2 0 2 0.125  0.125 0.2497434 1.20296 0.327036] [5 1 2 0.125  0 0.2497434 1.07796 0.327036] [8 2 2 0.125  -0.125 0.2497434 0.9529604 0.327036]
351.1063, target_spawn, target ID 0, grid ID 5
351.3011, target_spawn, target ID 1, grid ID 3
351.7571, target_hit, target ID 0, grid ID 5, velocity 0.01052809 -0.327356 1.21405
351.8027, target_spawn, target ID 2, grid ID 2
352.0532, target_spawn, target ID 3, grid ID 1
352.1143, target_contact, target ID 1, grid ID 3, velocity -0.4474921 -0.4960998 0.5485567
352.1645, target_spawn, target ID 4, grid ID 5
352.4, target_miss, target ID 1, grid ID 3
352.5702, target_spawn, target ID 5, grid ID 7
352.6429, target_hit, target ID 2, grid ID 2, velocity 0.1372251 -0.07561038 0.8036095
352.9185, target_spawn, target ID 6, grid ID 4
352.9857, target_hit, target ID 3, grid ID 1, velocity -0.3573758 -0.386891 0.8198496
353.2571, target_miss, target ID 4, grid ID 5
353.406, target_spawn, target ID 7, grid ID 3
353.42, target_spawn, target ID 8, grid ID 6
353.572, target_spawn, target ID 9, grid ID 0
353.6714, target_miss, target ID 5, grid ID 7
353.9429, target_hit, target ID 6, grid ID 4, velocity -0.1229005 -0.05598514 0.8671309
353.9745, target_spawn, target ID 10, grid ID 5
354.2668, target_spawn, target ID 11, grid ID 8
354.3286, target_contact, target ID 8, grid ID 6, velocity -0.1603867 -1.062389 0.5468487
354.5, target_miss, target ID 7, grid ID 3
354.5143, target_miss, target ID 8, grid ID 6
354.6857, target_miss, target ID 9, grid ID 0
354.824, target_spawn, target ID 12, grid ID 7
354.8379, target_spawn, target ID 13, grid ID 2
355.0714, target_miss, target ID 10, grid ID 5
355.0888, target_spawn, target ID 14, grid ID 3
355.3571, target_miss, target ID 11, grid ID 8
355.3948, target_spawn, target ID 15, grid ID 6
355.6871, target_spawn, target ID 16, grid ID 5
355.7, target_contact, target ID 12, grid ID 7, velocity -0.49983 -0.4135752 0.4061801
355.9286, target_miss, target ID 12, grid ID 7
355.9429, target_miss, target ID 13, grid ID 2
355.9714, target_contact, target ID 14, grid ID 3, velocity -0.4166635 -0.3681787 0.7315997
356.1857, target_miss, target ID 14, grid ID 3
356.2305, target_spawn, target ID 17, grid ID 1
356.2571, target_contact, target ID 15, grid ID 6, velocity -0.1464 -1.002238 0.3558281
356.3139, target_spawn, target ID 18, grid ID 8
356.3143, target_contact, target ID 15, grid ID 6, velocity 0.4158468 0.6873402 0.1088734
356.4857, target_miss, target ID 15, grid ID 6
356.5143, target_hit, target ID 16, grid ID 5, velocity 0.3702899 -0.1967404 0.9018496
356.7039, target_spawn, target ID 19, grid ID 0
356.8013, target_spawn, target ID 20, grid ID 2
356.8286, target_hit, target ID 17, grid ID 1, velocity -0.2732833 -0.1941618 0.8021538
357.1429, target_contact, target ID 18, grid ID 8, velocity -0.2120937 -1.382301 0.5214154
357.2882, target_spawn, target ID 21, grid ID 7
357.4, target_miss, target ID 18, grid ID 8
357.4429, target_hit, target ID 20, grid ID 2, velocity 0.04142869 0.2977899 1.030806
357.5809, target_spawn, target ID 22, grid ID 3
357.7857, target_contact, target ID 19, grid ID 0, velocity -0.3430879 -0.5801281 0.6969117
357.8143, target_miss, target ID 19, grid ID 0
357.8286, target_contact, target ID 22, grid ID 3, velocity 0.1502408 -0.8160979 0.1402596
357.9592, target_spawn, target ID 23, grid ID 1
358.1143, target_contact, target ID 22, grid ID 3, velocity -0.1023624 -0.67652 0.5342335
358.2214, target_spawn, target ID 24, grid ID 2
358.3857, target_miss, target ID 21, grid ID 7
358.43, target_spawn, target ID 25, grid ID 8
358.6857, target_miss, target ID 22, grid ID 3
358.7085, target_spawn, target ID 26, grid ID 5
358.8, target_hit, target ID 23, grid ID 1, velocity -0.1620944 -0.08747977 1.509945
359.0867, target_spawn, target ID 27, grid ID 3
