171.4003, target plane transform 0.1626168 1.082614 0.4074841 0 0 0 1
171.4003, grid mapping [0 0 0 -0.125  0.125 0.03761682 1.207614 0.4324841] [3 1 0 -0.125  0 0.03761682 1.082614 0.4324841] [6 2 0 -0.125  -0.125 0.03761682 0.9576141 0.4324841] [1 0 1 0  0.125 0.1626168 1.207614 0.4324841] [4 1 1 0  0 0.1626168 1.082614 0.4324841] [7 2 1 0  -0.125 0.1626168 0.9576141 0.4324841] [2 0 2 0.125  0.125 0.2876168 1.207614 0.4324841] [5 1 2 0.125  0 0.2876168 1.082614 0.4324841] [8 2 2 0.125  -0.125 0.2876168 0.9576141 0.4324841]
175.4239, target_spawn, target ID 0, grid ID 6
175.8834, target_spawn, target ID 1, grid ID 3
176, target_hit, target ID 0, grid ID 6, velocity -0.2053922 -1.39367 1.527572
176.3429, target_contact, target ID 1, grid ID 3, velocity -0.1980199 -0.3126159 0.774852
176.3708, target_spawn, target ID 2, grid ID 1
176.8443, target_spawn, target ID 3, grid ID 8
176.8857, target_hit, target ID 2, grid ID 1, velocity 0.2586519 -0.2419756 1.126179
176.9714, target_miss, target ID 1, grid ID 3
177.1227, target_spawn, target ID 4, grid ID 7
177.3175, target_spawn, target ID 5, grid ID 3
177.5405, target_spawn, target ID 6, grid ID 0
177.6857, target_hit, target ID 4, grid ID 7, velocity 0.1843414 -1.131165 1.265658
177.7492, target_spawn, target ID 7, grid ID 1
177.9571, target_miss, target ID 3, grid ID 8
177.9997, target_spawn, target ID 8, grid ID 2
178.1, target_hit, target ID 5, grid ID 3, velocity -0.3089956 -0.4293641 1.25846
178.2642, target_spawn, target ID 9, grid ID 8
178.4173, target_spawn, target ID 10, grid ID 6
178.5143, target_hit, target ID 6, grid ID 0, velocity -0.2198077 -0.6757051 1.415657
178.8, target_hit, target ID 7, grid ID 1, velocity 0.113437 -0.6670873 1.641295
178.835, target_spawn, target ID 11, grid ID 3
179.1, target_miss, target ID 8, grid ID 2
179.2528, target_spawn, target ID 12, grid ID 5
179.3571, target_miss, target ID 9, grid ID 8
179.4059, target_spawn, target ID 13, grid ID 1
179.5286, target_miss, target ID 10, grid ID 6
179.6844, target_spawn, target ID 14, grid ID 0
179.8376, target_spawn, target ID 15, grid ID 8
179.9, target_contact, target ID 11, grid ID 3, velocity -0.1790616 1.625591 -0.65361
179.9286, target_miss, target ID 11, grid ID 3
180.2552, target_spawn, target ID 16, grid ID 7
180.3286, target_hit, target ID 14, grid ID 0, velocity -0.1504102 -0.4003853 1.479229
180.3429, target_miss, target ID 12, grid ID 5
180.5, target_miss, target ID 13, grid ID 1
180.6451, target_spawn, target ID 17, grid ID 2
180.8681, target_spawn, target ID 18, grid ID 5
180.9099, target_spawn, target ID 19, grid ID 4
180.9286, target_miss, target ID 15, grid ID 8
181.0143, target_hit, target ID 16, grid ID 7, velocity 0.02617018 -1.56582 1.072063
181.2439, target_spawn, target ID 20, grid ID 8
181.3714, target_hit, target ID 19, grid ID 4, velocity 0.1036211 -0.1772517 0.918292
181.606, target_spawn, target ID 21, grid ID 3
181.7143, target_hit, target ID 18, grid ID 5, velocity 0.5166583 -0.3889048 0.8349447
181.7429, target_miss, target ID 17, grid ID 2
182.0793, target_spawn, target ID 22, grid ID 5
182.3, target_contact, target ID 21, grid ID 3, velocity -0.710121 -0.8251966 0.2334999
182.3429, target_miss, target ID 20, grid ID 8
182.4143, target_contact, target ID 21, grid ID 3, velocity 0.2827235 0.4193683 -0.07031435
182.4694, target_spawn, target ID 23, grid ID 6
182.6714, target_hit, target ID 21, grid ID 3, velocity -0.3659945 -0.4261038 1.039894
182.901, target_spawn, target ID 24, grid ID 7
182.9427, target_spawn, target ID 25, grid ID 2
183.1, target_hit, target ID 22, grid ID 5, velocity 0.6888419 -0.4306097 0.8616474
183.29, target_spawn, target ID 26, grid ID 3
183.4155, target_spawn, target ID 27, grid ID 1
183.5, target_contact, target ID 24, grid ID 7, velocity -0.1010959 -0.6624452 0.3330877
183.5571, target_miss, target ID 23, grid ID 6
183.6, target_contact, target ID 24, grid ID 7, velocity 0.2196229 0.08061671 -0.1361194
183.8751, target_spawn, target ID 28, grid ID 6
184, target_miss, target ID 24, grid ID 7
184.0286, target_miss, target ID 25, grid ID 2
184.1286, target_hit, target ID 26, grid ID 3, velocity 0.007667262 -0.01903683 0.8423488
184.3208, target_spawn, target ID 29, grid ID 8
184.4857, target_hit, target ID 27, grid ID 1, velocity 0.1905269 -0.1524171 1.144828
184.5854, target_spawn, target ID 30, grid ID 0
184.6133, target_spawn, target ID 31, grid ID 2
184.8219, target_spawn, target ID 32, grid ID 7
184.9714, target_miss, target ID 28, grid ID 6
185.0286, target_hit, target ID 29, grid ID 8, velocity 0.08027595 -0.8209819 1.191691
185.2956, target_spawn, target ID 33, grid ID 6
185.3651, target_spawn, target ID 34, grid ID 8
