242.9929, target plane transform 0.172252 1.019865 0.3344678 0 0 0 1
242.9929, grid mapping [0 0 0 -0.125  0.125 0.04725197 1.144865 0.3594678] [3 1 0 -0.125  0 0.04725197 1.019865 0.3594678] [6 2 0 -0.125  -0.125 0.04725197 0.894865 0.3594678] [1 0 1 0  0.125 0.172252 1.144865 0.3594678] [4 1 1 0  0 0.172252 1.019865 0.3594678] [7 2 1 0  -0.125 0.172252 0.894865 0.3594678] [2 0 2 0.125  0.125 0.297252 1.144865 0.3594678] [5 1 2 0.125  0 0.297252 1.019865 0.3594678] [8 2 2 0.125  -0.125 0.297252 0.894865 0.3594678]
247.0181, target_spawn, target ID 0, grid ID 4
247.5857, target_contact, target ID 0, grid ID 4, velocity 0.02398162 -0.2162784 0.6466709
248.1143, target_miss, target ID 0, grid ID 4
248.4366, target_spawn, target ID 1, grid ID 6
248.9571, target_hit, target ID 1, grid ID 6, velocity -0.01032734 -0.5973821 0.8666719
249.2832, target_spawn, target ID 2, grid ID 5
249.8, target_hit, target ID 2, grid ID 5, velocity 0.3803914 -0.1264622 0.8745417
250.1174, target_spawn, target ID 3, grid ID 8
250.6714, target_contact, target ID 3, grid ID 8, velocity -0.01226007 -0.4521179 0.6608251
251.2143, target_miss, target ID 3, grid ID 8
251.534, target_spawn, target ID 4, grid ID 8
252.0286, target_contact, target ID 4, grid ID 8, velocity 0.05165009 -0.1807116 0.5423985
252.6429, target_miss, target ID 4, grid ID 8
252.9507, target_spawn, target ID 5, grid ID 1
253.5429, target_contact, target ID 5, grid ID 1, velocity 0.05180925 0.08146524 0.7624068
254.0429, target_miss, target ID 5, grid ID 1
254.3675, target_spawn, target ID 6, grid ID 0
254.8857, target_contact, target ID 6, grid ID 0, velocity -0.1627085 0.3664682 0.6891782
255.4714, target_miss, target ID 6, grid ID 0
255.7841, target_spawn, target ID 7, grid ID 6
256.3, target_contact, target ID 7, grid ID 6, velocity -0.008914575 -0.6430824 0.7316954
256.8714, target_miss, target ID 7, grid ID 6
257.1871, target_spawn, target ID 8, grid ID 4
257.6429, target_contact, target ID 8, grid ID 4, velocity 0.06936146 0.1023303 0.7278468
258.3, target_miss, target ID 8, grid ID 4
258.6037, target_spawn, target ID 9, grid ID 7
259.0857, target_hit, target ID 9, grid ID 7, velocity -0.0720923 -0.4465015 0.8678294
259.4094, target_spawn, target ID 10, grid ID 3
259.9572, target_hit, target ID 10, grid ID 3, velocity -0.2438278 -0.2264728 0.8774369
260.2844, target_spawn, target ID 11, grid ID 5
260.7714, target_hit, target ID 11, grid ID 5, velocity 0.2131021 -0.04169283 0.90523
261.0899, target_spawn, target ID 12, grid ID 8
261.6143, target_contact, target ID 12, grid ID 8, velocity -0.1069635 -0.1631735 0.7760975
262.1857, target_miss, target ID 12, grid ID 8
262.5065, target_spawn, target ID 13, grid ID 8
263.1143, target_hit, target ID 13, grid ID 8, velocity -0.2920496 -0.3643865 0.9623038
263.4372, target_spawn, target ID 14, grid ID 0
264.0428, target_hit, target ID 14, grid ID 0, velocity -0.3243006 -0.03725924 0.8349278
264.368, target_spawn, target ID 15, grid ID 2
264.9, target_hit, target ID 15, grid ID 2, velocity 0.2474296 0.01751971 0.8192637
265.215, target_spawn, target ID 16, grid ID 7
265.7286, target_contact, target ID 16, grid ID 7, velocity -0.2737654 -0.6365475 0.7872244
265.8143, target_contact, target ID 16, grid ID 7, velocity 0.3523768 0.3741079 0.02915768
266.3143, target_miss, target ID 16, grid ID 7
266.6315, target_spawn, target ID 17, grid ID 3
267.1286, target_hit, target ID 17, grid ID 3, velocity -0.1722151 -0.5061219 0.8825157
267.4513, target_spawn, target ID 18, grid ID 5
267.9429, target_hit, target ID 18, grid ID 5, velocity 0.01517317 -0.1892647 0.9179306
268.2567, target_spawn, target ID 19, grid ID 2
268.7571, target_contact, target ID 19, grid ID 2, velocity 0.2716549 0.2822942 0.7124067
269.3429, target_miss, target ID 19, grid ID 2
269.6593, target_spawn, target ID 20, grid ID 3
270.1571, target_contact, target ID 20, grid ID 3, velocity -0.1380155 -0.02128085 0.7477571
270.7571, target_miss, target ID 20, grid ID 3
271.076, target_spawn, target ID 21, grid ID 4
271.5428, target_hit, target ID 21, grid ID 4, velocity 0.02227798 -0.1578133 0.9198455
271.8678, target_spawn, target ID 22, grid ID 5
272.3571, target_contact, target ID 22, grid ID 5, velocity 0.19939 -0.1104513 0.7821435
272.9572, target_miss, target ID 22, grid ID 5
273.2843, target_spawn, target ID 23, grid ID 7
273.8286, target_contact, target ID 23, grid ID 7, velocity -0.2664727 -0.3129393 0.671371
274.3714, target_miss, target ID 23, grid ID 7
274.687, target_spawn, target ID 24, grid ID 8
275.4143, target_contact, target ID 24, grid ID 8, velocity -0.2075079 0.06696152 0.4063256
275.8, target_miss, target ID 24, grid ID 8
276.1039, target_spawn, target ID 25, grid ID 6
276.7429, target_contact, target ID 25, grid ID 6, velocity -0.01625144 -0.0474076 0.6650363
277.2, target_miss, target ID 25, grid ID 6
277.5204, target_spawn, target ID 26, grid ID 6
278.1, target_hit, target ID 26, grid ID 6, velocity -0.4210224 -0.1680364 0.8478392
278.4234, target_spawn, target ID 27, grid ID 2
278.9857, target_contact, target ID 27, grid ID 2, velocity 0.161467 0.4978056 0.5981651
279.5143, target_miss, target ID 27, grid ID 2
279.8399, target_spawn, target ID 28, grid ID 2
280.3857, target_contact, target ID 28, grid ID 2, velocity 0.1301599 0.3419567 0.5089428
280.9429, target_miss, target ID 28, grid ID 2
281.2427, target_spawn, target ID 29, grid ID 6
281.8429, target_contact, target ID 29, grid ID 6, velocity -0.1244599 -0.204236 0.484777
282.3286, target_miss, target ID 29, grid ID 6
282.6456, target_spawn, target ID 30, grid ID 7
283.0857, target_contact, target ID 30, grid ID 7, velocity -0.07037566 -0.09644267 0.683951
283.7429, target_miss, target ID 30, grid ID 7
284.0623, target_spawn, target ID 31, grid ID 2
284.6143, target_contact, target ID 31, grid ID 2, velocity 0.1701877 0.3506676 0.4990251
285.1714, target_miss, target ID 31, grid ID 2
285.4788, target_spawn, target ID 32, grid ID 5
285.9286, target_contact, target ID 32, grid ID 5, velocity 0.1098419 0.04058351 0.7173968
286.5714, target_miss, target ID 32, grid ID 5
286.8956, target_spawn, target ID 33, grid ID 3
287.3571, target_contact, target ID 33, grid ID 3, velocity -0.4090171 -0.1175306 0.6934789
287.9857, target_miss, target ID 33, grid ID 3
288.3124, target_spawn, target ID 34, grid ID 4
288.7714, target_hit, target ID 34, grid ID 4, velocity 0.1599942 -0.1416954 0.8267634
289.0905, target_spawn, target ID 35, grid ID 2
289.6, target_contact, target ID 35, grid ID 2, velocity 0.1609766 0.3343409 0.7486365
290.1857, target_miss, target ID 35, grid ID 2
290.5068, target_spawn, target ID 36, grid ID 2
291.0714, target_contact, target ID 36, grid ID 2, velocity 0.2585883 0.3463662 0.6551571
291.6, target_miss, target ID 36, grid ID 2
