424.136, target plane transform 0.1463481 0.9945661 0.3962241 0 0 0 1
424.136, grid mapping [0 0 0 -0.125  0.125 0.02134815 1.119566 0.4212241] [3 1 0 -0.125  0 0.02134815 0.9945661 0.4212241] [6 2 0 -0.125  -0.125 0.02134815 0.8695661 0.4212241] [1 0 1 0  0.125 0.1463481 1.119566 0.4212241] [4 1 1 0  0 0.1463481 0.9945661 0.4212241] [7 2 1 0  -0.125 0.1463481 0.8695661 0.4212241] [2 0 2 0.125  0.125 0.2713481 1.119566 0.4212241] [5 1 2 0.125  0 0.2713481 0.9945661 0.4212241] [8 2 2 0.125  -0.125 0.2713481 0.8695661 0.4212241]
428.1619, target_spawn, target ID 0, grid ID 5
428.2733, target_spawn, target ID 1, grid ID 4
428.6771, target_spawn, target ID 2, grid ID 3
428.7, target_contact, target ID 1, grid ID 4, velocity -0.05420049 -0.2512275 0.6928024
428.9286, target_contact, target ID 0, grid ID 5, velocity 0.4359482 -0.1649864 0.5081021
429.2571, target_miss, target ID 0, grid ID 5
429.3714, target_miss, target ID 1, grid ID 4
429.4429, target_contact, target ID 2, grid ID 3, velocity -0.2169717 -0.02655405 0.5367933
429.5823, target_spawn, target ID 3, grid ID 5
429.7714, target_miss, target ID 2, grid ID 3
429.8746, target_spawn, target ID 4, grid ID 2
430.0143, target_contact, target ID 3, grid ID 5, velocity 0.4200628 0.03379983 0.7392287
430.2367, target_spawn, target ID 5, grid ID 4
430.2857, target_contact, target ID 4, grid ID 2, velocity 0.2518188 0.5199203 0.2435738
430.6857, target_miss, target ID 3, grid ID 5
430.6857, target_contact, target ID 5, grid ID 4, velocity -0.1178389 -0.4244415 0.6185671
430.9714, target_miss, target ID 4, grid ID 2
430.9886, target_spawn, target ID 6, grid ID 1
431.2948, target_spawn, target ID 7, grid ID 5
431.3286, target_miss, target ID 5, grid ID 4
431.4286, target_contact, target ID 6, grid ID 1, velocity -0.0727877 0.6132101 0.6055391
431.7544, target_spawn, target ID 8, grid ID 3
432.0857, target_miss, target ID 6, grid ID 1
432.1857, target_contact, target ID 8, grid ID 3, velocity -0.5236622 -0.1138401 0.6755097
432.3857, target_miss, target ID 7, grid ID 5
432.4089, target_spawn, target ID 9, grid ID 2
432.8429, target_miss, target ID 8, grid ID 3
432.8429, target_contact, target ID 9, grid ID 2, velocity 0.4339549 0.5185339 0.4268565
432.9102, target_spawn, target ID 10, grid ID 1
433.1606, target_spawn, target ID 11, grid ID 7
433.3714, target_contact, target ID 10, grid ID 1, velocity -0.01567876 0.2344932 0.5999066
433.5, target_miss, target ID 9, grid ID 2
433.8, target_contact, target ID 11, grid ID 7, velocity -0.1676128 -0.6624402 0.47248
433.8151, target_spawn, target ID 12, grid ID 2
434, target_miss, target ID 10, grid ID 1
434.2571, target_miss, target ID 11, grid ID 7
434.3164, target_spawn, target ID 13, grid ID 1
434.581, target_spawn, target ID 14, grid ID 8
434.8, target_contact, target ID 13, grid ID 1, velocity 0.0594385 0.5498736 0.5200777
434.9286, target_miss, target ID 12, grid ID 2
435.2354, target_spawn, target ID 15, grid ID 3
435.4286, target_miss, target ID 13, grid ID 1
435.6, target_hit, target ID 15, grid ID 3, velocity -0.3108318 -0.1797458 0.8661134
435.6857, target_miss, target ID 14, grid ID 8
435.7367, target_spawn, target ID 16, grid ID 1
435.9176, target_spawn, target ID 17, grid ID 0
436.2143, target_contact, target ID 16, grid ID 1, velocity 0.1484784 0.4100695 0.623452
436.3215, target_spawn, target ID 18, grid ID 6
436.7714, target_contact, target ID 18, grid ID 6, velocity -0.2115884 -0.9219298 0.5204979
436.8286, target_miss, target ID 16, grid ID 1
437.0143, target_miss, target ID 17, grid ID 0
437.1429, target_spawn, target ID 19, grid ID 3
437.4286, target_miss, target ID 18, grid ID 6
437.5329, target_spawn, target ID 20, grid ID 2
437.5857, target_contact, target ID 19, grid ID 3, velocity -0.3377546 0.01533528 0.7168592
437.7418, target_spawn, target ID 21, grid ID 7
438.0428, target_contact, target ID 20, grid ID 2, velocity 0.5339934 0.2817188 0.7301952
438.2429, target_miss, target ID 19, grid ID 3
438.5632, target_spawn, target ID 22, grid ID 1
438.5714, target_contact, target ID 21, grid ID 7, velocity -0.2031187 -0.5894831 0.5118666
438.6286, target_miss, target ID 20, grid ID 2
438.8286, target_miss, target ID 21, grid ID 7
439.0088, target_spawn, target ID 23, grid ID 2
439.0572, target_contact, target ID 22, grid ID 1, velocity 0.1228016 0.2862079 0.7987026
439.3849, target_spawn, target ID 24, grid ID 7
439.5, target_contact, target ID 23, grid ID 2, velocity 0.4214254 0.0664241 0.6082042
439.6714, target_miss, target ID 22, grid ID 1
439.9833, target_spawn, target ID 25, grid ID 6
440.1, target_miss, target ID 23, grid ID 2
440.1429, target_contact, target ID 24, grid ID 7, velocity -0.1321388 -0.2168464 0.4268941
440.4151, target_spawn, target ID 26, grid ID 8
440.4572, target_contact, target ID 25, grid ID 6, velocity -0.2383875 -0.3597198 0.2935217
440.4714, target_miss, target ID 24, grid ID 7
440.791, target_spawn, target ID 27, grid ID 2
441.0714, target_miss, target ID 25, grid ID 6
441.3, target_hit, target ID 27, grid ID 2, velocity 0.5246012 0.4527848 0.8065764
441.3896, target_spawn, target ID 28, grid ID 1
441.5143, target_miss, target ID 26, grid ID 8
441.6543, target_spawn, target ID 29, grid ID 3
441.8429, target_hit, target ID 28, grid ID 1, velocity 0.05431242 0.2393759 0.8578735
441.8492, target_spawn, target ID 30, grid ID 0
442.1694, target_spawn, target ID 31, grid ID 8
442.2714, target_hit, target ID 29, grid ID 3, velocity -0.07527977 -0.535944 0.8214654
442.5871, target_spawn, target ID 32, grid ID 2
442.6429, target_hit, target ID 30, grid ID 0, velocity -0.07553239 -0.200769 0.8698362
443.0048, target_spawn, target ID 33, grid ID 5
443.0857, target_hit, target ID 32, grid ID 2, velocity 0.367123 -0.3402733 0.9908572
443.2571, target_miss, target ID 31, grid ID 8
443.4087, target_spawn, target ID 34, grid ID 7
443.5428, target_contact, target ID 33, grid ID 5, velocity 0.1724072 -0.5276041 0.7741982
443.7149, target_spawn, target ID 35, grid ID 1
443.9857, target_contact, target ID 34, grid ID 7, velocity 0.02877573 -0.7021549 0.6190996
444.0428, target_contact, target ID 34, grid ID 7, velocity -0.08139555 0.2462999 -0.2826363
444.1, target_miss, target ID 33, grid ID 5
444.3429, target_contact, target ID 35, grid ID 1, velocity 0.1149513 0.2040476 0.6456091
444.4251, target_spawn, target ID 36, grid ID 8
444.5, target_miss, target ID 34, grid ID 7
444.8143, target_miss, target ID 35, grid ID 1
