523.9382, target plane transform 0.1481541 0.8117471 0.3785934 0.3826834 0 0 0.9238796
523.9382, grid mapping [0 0 0 -0.125  0.125 0.02315405 0.8824578 0.4846594] [3 1 0 -0.125  0 0.02315405 0.7940695 0.3962711] [6 2 0 -0.125  -0.125 0.02315405 0.7056811 0.3078827] [1 0 1 0  0.125 0.1481541 0.8824578 0.4846594] [4 1 1 0  0 0.1481541 0.7940695 0.3962711] [7 2 1 0  -0.125 0.1481541 0.7056811 0.3078827] [2 0 2 0.125  0.125 0.2731541 0.8824578 0.4846594] [5 1 2 0.125  0 0.2731541 0.7940695 0.3962711] [8 2 2 0.125  -0.125 0.2731541 0.7056811 0.3078827]
527.9594, target_spawn, target ID 0, grid ID 1
528.3911, target_spawn, target ID 1, grid ID 7
528.6429, target_contact, target ID 0, grid ID 1, velocity -0.001672784 -0.3453747 0.1702759
528.7671, target_spawn, target ID 2, grid ID 5
529.0571, target_miss, target ID 0, grid ID 1
529.3793, target_spawn, target ID 3, grid ID 2
529.4857, target_miss, target ID 1, grid ID 7
529.8111, target_spawn, target ID 4, grid ID 6
529.8571, target_miss, target ID 2, grid ID 5
529.9286, target_contact, target ID 3, grid ID 2, velocity -0.003652059 -0.4725517 0.2911602
530.1732, target_spawn, target ID 5, grid ID 7
530.4714, target_miss, target ID 3, grid ID 2
530.6572, target_hit, target ID 5, grid ID 7, velocity -0.2437218 -1.167214 -0.2496687
530.7858, target_spawn, target ID 6, grid ID 1
530.9, target_miss, target ID 4, grid ID 6
530.9806, target_spawn, target ID 7, grid ID 5
531.2175, target_spawn, target ID 8, grid ID 0
531.3, target_contact, target ID 6, grid ID 1, velocity -0.205835 -0.4298649 0.5278059
531.8857, target_miss, target ID 6, grid ID 1
532.0714, target_miss, target ID 7, grid ID 5
532.2061, target_spawn, target ID 9, grid ID 4
532.3143, target_miss, target ID 8, grid ID 0
532.3871, target_spawn, target ID 10, grid ID 1
532.6378, target_spawn, target ID 11, grid ID 5
532.8571, target_contact, target ID 10, grid ID 1, velocity -0.3688078 -0.3102387 0.8356408
533.3, target_miss, target ID 9, grid ID 4
533.4857, target_miss, target ID 10, grid ID 1
533.6263, target_spawn, target ID 12, grid ID 0
533.7286, target_miss, target ID 11, grid ID 5
534.0303, target_spawn, target ID 13, grid ID 8
534.0571, target_contact, target ID 12, grid ID 0, velocity -0.5356475 -0.577666 0.6741908
534.0997, target_spawn, target ID 14, grid ID 3
534.6429, target_contact, target ID 14, grid ID 3, velocity -0.2964429 -0.6466684 -0.1059534
534.7143, target_miss, target ID 12, grid ID 0
535.0327, target_spawn, target ID 15, grid ID 4
535.1286, target_miss, target ID 13, grid ID 8
535.1857, target_miss, target ID 14, grid ID 3
535.3715, target_contact, target ID 15, grid ID 4, velocity -0.2728322 -0.5530071 0.2245617
535.4503, target_spawn, target ID 16, grid ID 0
535.868, target_spawn, target ID 17, grid ID 5
535.9286, target_contact, target ID 16, grid ID 0, velocity -0.3764985 -0.4120423 0.6305877
536.1286, target_miss, target ID 15, grid ID 4
536.4529, target_spawn, target ID 18, grid ID 8
536.5428, target_miss, target ID 16, grid ID 0
536.8706, target_spawn, target ID 19, grid ID 2
536.9572, target_miss, target ID 17, grid ID 5
537.2742, target_spawn, target ID 20, grid ID 4
537.2857, target_contact, target ID 19, grid ID 2, velocity -0.01365016 -0.3192373 0.7813253
537.5428, target_miss, target ID 18, grid ID 8
