622.4678, target plane transform 0.1469845 1.304284 0.290125 -0.3826834 0 0 0.9238796
622.4678, grid mapping [0 0 0 -0.125  0.125 0.02198449 1.41035 0.2194143] [3 1 0 -0.125  0 0.02198449 1.321962 0.3078026] [6 2 0 -0.125  -0.125 0.02198449 1.233573 0.396191] [1 0 1 0  0.125 0.1469845 1.41035 0.2194143] [4 1 1 0  0 0.1469845 1.321962 0.3078026] [7 2 1 0  -0.125 0.1469845 1.233573 0.396191] [2 0 2 0.125  0.125 0.2719845 1.41035 0.2194143] [5 1 2 0.125  0 0.2719845 1.321962 0.3078026] [8 2 2 0.125  -0.125 0.2719845 1.233573 0.396191]
626.4934, target_spawn, target ID 0, grid ID 3
626.5215, target_spawn, target ID 1, grid ID 8
626.8137, target_spawn, target ID 2, grid ID 5
627.5857, target_miss, target ID 0, grid ID 3
627.6143, target_miss, target ID 1, grid ID 8
627.8999, target_spawn, target ID 3, grid ID 6
627.9, target_miss, target ID 2, grid ID 5
628.0253, target_spawn, target ID 4, grid ID 7
628.3456, target_spawn, target ID 5, grid ID 5
628.4714, target_hit, target ID 4, grid ID 7, velocity -0.02053863 -0.1925495 1.261877
628.7914, target_spawn, target ID 6, grid ID 3
628.9857, target_miss, target ID 3, grid ID 6
629.3064, target_spawn, target ID 7, grid ID 0
629.4429, target_miss, target ID 5, grid ID 5
629.766, target_spawn, target ID 8, grid ID 1
629.8143, target_hit, target ID 7, grid ID 0, velocity -0.06091951 0.4985691 0.991698
629.8428, target_hit, target ID 6, grid ID 3, velocity -0.4097486 -0.7780645 0.9008749
630.1694, target_spawn, target ID 9, grid ID 5
630.3, target_contact, target ID 8, grid ID 1, velocity -0.10467 0.2290988 0.3493398
630.3857, target_contact, target ID 8, grid ID 1, velocity -0.02829859 0.2086726 -0.5807042
630.4762, target_spawn, target ID 10, grid ID 3
630.8571, target_miss, target ID 8, grid ID 1
631.0143, target_hit, target ID 10, grid ID 3, velocity -0.08598556 0.1425529 1.179384
631.1723, target_spawn, target ID 11, grid ID 4
631.2571, target_miss, target ID 9, grid ID 5
631.3392, target_spawn, target ID 12, grid ID 2
631.5714, target_hit, target ID 11, grid ID 4, velocity -0.1008187 -0.1367146 0.9772604
631.6039, target_spawn, target ID 13, grid ID 6
632.0078, target_spawn, target ID 14, grid ID 0
632.4286, target_miss, target ID 12, grid ID 2
632.5571, target_contact, target ID 14, grid ID 0, velocity -0.09812714 0.5199899 0.6217496
632.6429, target_contact, target ID 14, grid ID 0, velocity -0.08649093 0.4316122 -0.4066419
632.7, target_miss, target ID 13, grid ID 6
632.7457, target_spawn, target ID 15, grid ID 4
633.024, target_spawn, target ID 16, grid ID 8
633.1, target_miss, target ID 14, grid ID 0
633.2571, target_contact, target ID 15, grid ID 4, velocity 0.06499542 -0.05735907 0.5970222
633.3428, target_contact, target ID 15, grid ID 4, velocity 0.1465134 0.6299975 -0.4253225
633.3715, target_contact, target ID 15, grid ID 4, velocity 0.3640113 0.2286498 -0.2221352
633.4975, target_spawn, target ID 17, grid ID 6
633.8428, target_miss, target ID 15, grid ID 4
633.9572, target_hit, target ID 17, grid ID 6, velocity 0.1017813 -1.227261 1.10817
634.1143, target_miss, target ID 16, grid ID 8
634.1658, target_spawn, target ID 18, grid ID 1
634.6429, target_contact, target ID 18, grid ID 1, velocity 0.2869294 0.4751698 0.7919954
634.6673, target_spawn, target ID 19, grid ID 0
634.7, target_contact, target ID 18, grid ID 1, velocity -0.3620303 -0.2895601 -0.5442296
635.1266, target_spawn, target ID 20, grid ID 4
635.2571, target_miss, target ID 18, grid ID 1
635.4714, target_hit, target ID 20, grid ID 4, velocity -0.04226372 0.04538843 1.055041
635.5722, target_spawn, target ID 21, grid ID 2
635.7571, target_miss, target ID 19, grid ID 0
635.8785, target_spawn, target ID 22, grid ID 4
636.2128, target_spawn, target ID 23, grid ID 8
636.3143, target_hit, target ID 22, grid ID 4, velocity -0.2503137 0.04889381 1.232351
636.6304, target_spawn, target ID 24, grid ID 0
636.6714, target_miss, target ID 21, grid ID 2
636.9923, target_spawn, target ID 25, grid ID 7
637.3, target_miss, target ID 23, grid ID 8
637.4714, target_hit, target ID 25, grid ID 7, velocity 0.190096 -0.4561296 1.538676
637.6188, target_spawn, target ID 26, grid ID 1
637.7286, target_miss, target ID 24, grid ID 0
637.786, target_spawn, target ID 27, grid ID 3
638.0923, target_spawn, target ID 28, grid ID 8
638.1, target_hit, target ID 26, grid ID 1, velocity -0.0480937 0.6303596 0.9101391
638.4266, target_spawn, target ID 29, grid ID 4
638.7857, target_hit, target ID 29, grid ID 4, velocity -0.1401369 -0.1840237 1.174222
638.8857, target_miss, target ID 27, grid ID 3
639.1087, target_spawn, target ID 30, grid ID 4
639.1857, target_miss, target ID 28, grid ID 8
639.2062, target_spawn, target ID 31, grid ID 0
639.4572, target_hit, target ID 30, grid ID 4, velocity -0.1466391 -0.3006747 1.083907
639.6379, target_spawn, target ID 32, grid ID 3
639.8466, target_spawn, target ID 33, grid ID 4
640.1429, target_hit, target ID 32, grid ID 3, velocity -0.07451089 -0.4828033 1.440861
640.3, target_miss, target ID 31, grid ID 0
640.4286, target_hit, target ID 33, grid ID 4, velocity 0.1834424 -0.1629197 1.036793
640.4593, target_spawn, target ID 34, grid ID 7
640.9609, target_spawn, target ID 35, grid ID 3
640.9857, target_hit, target ID 34, grid ID 7, velocity -0.0275768 -0.7619808 1.742217
641.3645, target_spawn, target ID 36, grid ID 0
641.4342, target_spawn, target ID 37, grid ID 1
641.5286, target_hit, target ID 35, grid ID 3, velocity -0.02187737 -0.2895994 1.120336
641.8518, target_spawn, target ID 38, grid ID 6
641.8571, target_contact, target ID 37, grid ID 1, velocity 0.3497444 0.3232459 0.7074087
642.4572, target_miss, target ID 36, grid ID 0
642.5286, target_miss, target ID 37, grid ID 1
642.7845, target_spawn, target ID 39, grid ID 4
642.9377, target_spawn, target ID 40, grid ID 1
642.9429, target_miss, target ID 38, grid ID 6
643.1429, target_hit, target ID 39, grid ID 4, velocity -0.457047 -0.2083785 0.8796325
643.4251, target_spawn, target ID 41, grid ID 3
643.4669, target_spawn, target ID 42, grid ID 8
643.5286, target_hit, target ID 40, grid ID 1, velocity -0.1791272 0.1666685 1.425951
643.9681, target_spawn, target ID 43, grid ID 2
644.5143, target_miss, target ID 41, grid ID 3
644.5571, target_miss, target ID 42, grid ID 8
644.8316, target_spawn, target ID 44, grid ID 1
645.0571, target_miss, target ID 43, grid ID 2
645.2632, target_spawn, target ID 45, grid ID 3
645.3286, target_contact, target ID 44, grid ID 1, velocity 0.1965394 0.4771054 0.6837597
645.472, target_spawn, target ID 46, grid ID 0
645.8143, target_hit, target ID 45, grid ID 3, velocity -0.1244618 -0.3272245 1.13337
645.9286, target_miss, target ID 44, grid ID 1
646.1401, target_spawn, target ID 47, grid ID 4
646.4466, target_spawn, target ID 48, grid ID 8
646.5714, target_miss, target ID 46, grid ID 0
646.5714, target_hit, target ID 47, grid ID 4, velocity 0.1000774 0.04616371 0.9171829
646.8921, target_spawn, target ID 49, grid ID 2
647.0286, target_hit, target ID 48, grid ID 8, velocity -0.1283617 -0.5365105 1.20541
647.3793, target_spawn, target ID 50, grid ID 6
647.5327, target_spawn, target ID 51, grid ID 1
647.9, target_hit, target ID 50, grid ID 6, velocity -0.0433342 -0.4609902 1.614614
