714.366, target plane transform 0.1438654 1.010757 0.4323168 0 0 0 1
714.366, grid mapping [0 0 0 -0.125  0.125 0.01886538 1.135757 0.4573168] [3 1 0 -0.125  0 0.01886538 1.010757 0.4573168] [6 2 0 -0.125  -0.125 0.01886538 0.8857574 0.4573168] [1 0 1 0  0.125 0.1438654 1.135757 0.4573168] [4 1 1 0  0 0.1438654 1.010757 0.4573168] [7 2 1 0  -0.125 0.1438654 0.8857574 0.4573168] [2 0 2 0.125  0.125 0.2688654 1.135757 0.4573168] [5 1 2 0.125  0 0.2688654 1.010757 0.4573168] [8 2 2 0.125  -0.125 0.2688654 0.8857574 0.4573168]
718.3908, target_spawn, target ID 0, grid ID 0
718.5998, target_spawn, target ID 1, grid ID 8
719.0143, target_hit, target ID 0, grid ID 0, velocity -0.3298565 -0.4560748 0.9200184
719.0176, target_spawn, target ID 2, grid ID 4
719.3378, target_spawn, target ID 3, grid ID 3
719.4, target_contact, target ID 2, grid ID 4, velocity -0.1756582 -0.9343947 0.5621098
719.6857, target_miss, target ID 1, grid ID 8
719.7857, target_contact, target ID 3, grid ID 3, velocity -0.3698532 -0.9324205 0.6877505
720.0063, target_spawn, target ID 4, grid ID 5
720.1143, target_miss, target ID 2, grid ID 4
720.4286, target_miss, target ID 3, grid ID 3
720.4379, target_spawn, target ID 5, grid ID 8
720.4857, target_hit, target ID 4, grid ID 5, velocity 0.1013514 -0.4687657 0.8299575
720.8279, target_spawn, target ID 6, grid ID 5
720.8715, target_contact, target ID 5, grid ID 8, velocity -0.1016637 -1.083427 0.7562501
721.19, target_spawn, target ID 7, grid ID 0
721.2857, target_contact, target ID 6, grid ID 5, velocity 0.03668912 -0.1116726 0.6116267
721.5286, target_miss, target ID 5, grid ID 8
721.8445, target_spawn, target ID 8, grid ID 4
721.9143, target_miss, target ID 6, grid ID 5
722.1572, target_contact, target ID 8, grid ID 4, velocity -0.05297012 -0.3734399 0.6634005
722.2344, target_spawn, target ID 9, grid ID 3
722.2857, target_miss, target ID 7, grid ID 0
722.6102, target_spawn, target ID 10, grid ID 8
722.6572, target_hit, target ID 9, grid ID 3, velocity -0.1511941 -0.6066328 0.8649907
722.9429, target_miss, target ID 8, grid ID 4
722.9724, target_spawn, target ID 11, grid ID 0
723.0428, target_contact, target ID 10, grid ID 8, velocity 0.3574378 -1.056798 0.6282579
723.1143, target_contact, target ID 10, grid ID 8, velocity 0.1490165 0.08917236 -0.2671106
723.2648, target_spawn, target ID 12, grid ID 4
723.5571, target_contact, target ID 12, grid ID 4, velocity -0.07543781 -0.2859798 0.4107077
723.7, target_miss, target ID 10, grid ID 8
723.9714, target_contact, target ID 12, grid ID 4, velocity -0.07724877 -0.535848 0.7149366
724.0167, target_spawn, target ID 13, grid ID 7
724.0286, target_contact, target ID 12, grid ID 4, velocity -0.2502964 0.2587308 -0.430091
724.0714, target_miss, target ID 11, grid ID 0
724.3571, target_miss, target ID 12, grid ID 4
724.3926, target_spawn, target ID 14, grid ID 0
724.4143, target_contact, target ID 13, grid ID 7, velocity -0.1823371 -1.497365 0.6471667
724.4714, target_contact, target ID 13, grid ID 7, velocity -0.06817544 0.1207302 -0.3619057
724.6851, target_spawn, target ID 15, grid ID 5
725.1143, target_miss, target ID 13, grid ID 7
725.1572, target_hit, target ID 15, grid ID 5, velocity 0.582411 -0.07663365 0.912576
725.4369, target_spawn, target ID 16, grid ID 8
725.4857, target_miss, target ID 14, grid ID 0
725.8715, target_hit, target ID 16, grid ID 8, velocity -0.2405665 -1.227343 0.852937
725.8825, target_spawn, target ID 17, grid ID 2
725.98, target_spawn, target ID 18, grid ID 4
726.3571, target_hit, target ID 18, grid ID 4, velocity -0.08586293 -0.6743287 1.160096
726.3978, target_spawn, target ID 19, grid ID 6
726.6761, target_spawn, target ID 20, grid ID 8
726.9, target_hit, target ID 19, grid ID 6, velocity -0.1371649 -1.45369 0.8881849
726.9714, target_miss, target ID 17, grid ID 2
727.2192, target_spawn, target ID 21, grid ID 6
727.3143, target_contact, target ID 20, grid ID 8, velocity 0.4413681 -0.6605921 0.531934
727.3167, target_spawn, target ID 22, grid ID 3
727.7714, target_miss, target ID 20, grid ID 8
