condition high, random seed 407371
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
1048.115, 0, 0, 0, 0, 0, 0, 1, 0.110556, 0.8141925, 0.3277702, -0.002797956, -0.01664619, 0.006162737, 0.9998386, -0.001702785, 1.121019, -0.02254736, -0.004281203, 0.02783279, -0.02814728, 0.9992071, 0.1176964, 0.8163913, 0.4111386, 0.2921589, 0.6332861, 0.3082503, 0.6469728
1052.139, 0, 0, 0, 0, 0, 0, 1, 0.2208349, 1.117149, 0.0007690191, -0.782697, 0.1076446, 0.03783422, 0.6118551, 0.03877246, 1.14904, -0.08041096, -0.2635981, 0.1386846, -0.04055306, 0.9537495, 0.2361863, 1.195828, -0.02331506, -0.3053814, 0.7081398, -0.3261888, 0.5467003
1052.152, 0, 0, 0, 0, 0, 0, 1, 0.2208035, 1.117215, 0.000992775, -0.7821977, 0.1073695, 0.03798947, 0.612532, 0.03876543, 1.148913, -0.08026981, -0.2629034, 0.1387876, -0.04059162, 0.9539247, 0.2361234, 1.195943, -0.02295246, -0.3050404, 0.7082953, -0.3254825, 0.5471101
1052.166, 0, 0, 0, 0, 0, 0, 1, 0.2208043, 1.117201, 0.001046538, -0.7821012, 0.10741, 0.0380711, 0.6126431, 0.0388329, 1.148814, -0.08016801, -0.2623899, 0.138965, -0.04071812, 0.9540348, 0.2361198, 1.195936, -0.02287705, -0.3049855, 0.708388, -0.3253474, 0.5471011
1052.181, 0, 0, 0, 0, 0, 0, 1, 0.2208271, 1.117131, 0.001044393, -0.7821546, 0.1075063, 0.03798968, 0.6125628, 0.03893149, 1.148772, -0.0800643, -0.26206, 0.1393024, -0.04039488, 0.9540899, 0.2361608, 1.195857, -0.02289624, -0.3049626, 0.7083894, -0.3254869, 0.547029
1052.194, 0, 0, 0, 0, 0, 0, 1, 0.2208638, 1.117055, 0.001061201, -0.7822331, 0.1076157, 0.03789435, 0.6124495, 0.03901756, 1.14877, -0.07994795, -0.2622423, 0.1393517, -0.04052898, 0.954027, 0.2362181, 1.19577, -0.02290328, -0.3049529, 0.7083811, -0.3256652, 0.546939
1052.208, 0, 0, 0, 0, 0, 0, 1, 0.2208877, 1.116981, 0.00108242, -0.7823264, 0.1077486, 0.03783712, 0.6123104, 0.03904903, 1.148759, -0.07980192, -0.2623849, 0.1392625, -0.04087524, 0.953986, 0.2362591, 1.195684, -0.02291141, -0.3049777, 0.7083874, -0.3258437, 0.5468106
1052.222, 0, 0, 0, 0, 0, 0, 1, 0.2208835, 1.116883, 0.001114964, -0.7823338, 0.107784, 0.03784781, 0.6122941, 0.03905761, 1.148724, -0.07966733, -0.2623151, 0.1390459, -0.04106019, 0.9540289, 0.2362566, 1.195584, -0.0228826, -0.3049836, 0.708405, -0.3258572, 0.5467766
1052.236, 0, 0, 0, 0, 0, 0, 1, 0.2208403, 1.116812, 0.001196504, -0.7822697, 0.1077134, 0.0379511, 0.6123819, 0.03907108, 1.148701, -0.07956696, -0.261833, 0.1390126, -0.04100147, 0.9541687, 0.2361949, 1.195522, -0.02278282, -0.3050036, 0.7084283, -0.3257025, 0.5468273
1052.25, 0, 0, 0, 0, 0, 0, 1, 0.2207656, 1.11678, 0.001288176, -0.7820918, 0.1075809, 0.03823172, 0.6126149, 0.03910744, 1.14869, -0.07951784, -0.2615697, 0.1389112, -0.04096743, 0.9542571, 0.2360754, 1.195514, -0.02264342, -0.3050395, 0.7085247, -0.3252992, 0.5469224
