0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.09999999, target_spawn, target ID 0, grid ID 7
0.25, target_spawn, target ID 1, grid ID 4
0.55, target_contact, target ID 1, grid ID 4, velocity 0.358925 1.640476 0.5538788
0.6999999, target_spawn, target ID 2, grid ID 8
0.85, target_spawn, target ID 3, grid ID 1
0.9, target_hit, target ID 1, grid ID 4, velocity 0.6190498 -1.920334 1.418902
0.9999999, target_spawn, target ID 4, grid ID 6
1.198, target_miss, target ID 0, grid ID 7
1.25, target_hit, target ID 3, grid ID 1, velocity 0.3187148 -0.02886261 1.013114
1.5, target_spawn, target ID 5, grid ID 5
1.6, target_hit, target ID 4, grid ID 6, velocity 0.3176427 -1.189109 0.9809978
1.798, target_miss, target ID 2, grid ID 8
1.85, target_spawn, target ID 6, grid ID 2
1.95, target_hit, target ID 5, grid ID 5, velocity 0.3096733 -1.07486 1.301806
2.15, target_spawn, target ID 7, grid ID 0
2.25, target_spawn, target ID 8, grid ID 8
2.25, target_hit, target ID 6, grid ID 2, velocity 0.638252 -0.5485952 1.109847
2.3, target_spawn, target ID 9, grid ID 6
2.55, target_hit, target ID 7, grid ID 0, velocity 0.1657628 -0.8387071 1.590258
2.8, target_spawn, target ID 10, grid ID 2
2.95, target_hit, target ID 9, grid ID 6, velocity 0.461289 -1.586636 1.262689
3.25, target_spawn, target ID 11, grid ID 5
3.3, target_hit, target ID 10, grid ID 2, velocity 0.4776686 -0.8925919 1.616058
3.348, target_miss, target ID 8, grid ID 8
3.55, target_spawn, target ID 12, grid ID 3
3.65, target_hit, target ID 11, grid ID 5, velocity 0.6945139 -0.8684574 1.192273
3.9, target_spawn, target ID 13, grid ID 8
4, target_hit, target ID 12, grid ID 3, velocity 0.1143524 -0.7092285 1.092656
4.15, target_spawn, target ID 14, grid ID 7
4.2, target_spawn, target ID 15, grid ID 5
4.35, target_hit, target ID 15, grid ID 5, velocity 0.6035376 -1.739009 1.399711
4.4, target_hit, target ID 13, grid ID 8, velocity 1.01681 -1.828457 0.8146334
4.5, target_spawn, target ID 16, grid ID 0
4.85, target_spawn, target ID 17, grid ID 1
4.85, target_hit, target ID 16, grid ID 0, velocity 0.3500509 -0.3061314 1.312029
4.95, target_spawn, target ID 18, grid ID 3
5.2, target_hit, target ID 18, grid ID 3, velocity 0.2318081 -1.112385 1.221374
5.248, target_miss, target ID 14, grid ID 7
5.3, target_spawn, target ID 19, grid ID 8
5.55, target_hit, target ID 17, grid ID 1, velocity 0.8033153 -0.8956848 1.623963
5.8, target_spawn, target ID 20, grid ID 4
5.95, target_spawn, target ID 21, grid ID 7
6, target_spawn, target ID 22, grid ID 0
6.3, target_spawn, target ID 23, grid ID 6
6.35, target_hit, target ID 20, grid ID 4, velocity 0.9173307 -1.161099 1.482978
6.398, target_miss, target ID 19, grid ID 8
6.75, target_spawn, target ID 24, grid ID 1
6.8, target_hit, target ID 21, grid ID 7, velocity 0.4436439 -1.406313 0.894133
7.098001, target_miss, target ID 22, grid ID 0
7.15, target_spawn, target ID 25, grid ID 2
7.150001, target_hit, target ID 24, grid ID 1, velocity 0.3931913 -0.3962755 1.230582
7.398, target_miss, target ID 23, grid ID 6
7.45, target_hit, target ID 25, grid ID 2, velocity 0.6779343 -1.250787 1.315619
7.5, target_spawn, target ID 26, grid ID 3
7.849999, target_spawn, target ID 27, grid ID 1
7.85, target_hit, target ID 26, grid ID 3, velocity -0.07437595 -0.5517936 0.9761667
7.949999, target_spawn, target ID 28, grid ID 5
8.099999, target_spawn, target ID 29, grid ID 2
8.150001, target_hit, target ID 27, grid ID 1, velocity 0.6216265 -0.9566768 1.873265
8.349999, target_spawn, target ID 30, grid ID 4
8.5, target_hit, target ID 28, grid ID 5, velocity 0.4506246 -1.24978 1.171457
8.599999, target_spawn, target ID 31, grid ID 7
8.799999, target_spawn, target ID 32, grid ID 3
8.900001, target_hit, target ID 30, grid ID 4, velocity 0.7193998 -0.8142297 1.174489
9.049999, target_spawn, target ID 33, grid ID 0
9.198001, target_miss, target ID 29, grid ID 2
9.299999, target_spawn, target ID 34, grid ID 5
9.3, target_hit, target ID 33, grid ID 0, velocity 0.2908245 -0.8268393 1.506222
9.65, target_spawn, target ID 35, grid ID 4
9.650001, target_hit, target ID 32, grid ID 3, velocity 0.1792741 -1.439805 1.466279
9.698001, target_miss, target ID 31, grid ID 7
9.799999, target_spawn, target ID 36, grid ID 0
10.05, target_spawn, target ID 37, grid ID 8
10.05, target_hit, target ID 34, grid ID 5, velocity 1.001435 -1.133714 1.075738
10.1, target_spawn, target ID 38, grid ID 1
10.45, target_spawn, target ID 39, grid ID 3
10.45, target_hit, target ID 38, grid ID 1, velocity 0.4738007 -1.064563 1.410047
10.5, target_contact, target ID 35, grid ID 4, velocity 0.1942666 -0.7298206 0.7895821
10.75, target_miss, target ID 35, grid ID 4
10.8, target_hit, target ID 39, grid ID 3, velocity 0.2271265 -1.203538 1.49533
10.85, target_spawn, target ID 40, grid ID 1
10.898, target_miss, target ID 36, grid ID 0
11.1, target_spawn, target ID 41, grid ID 2
11.148, target_miss, target ID 37, grid ID 8
11.2, target_hit, target ID 40, grid ID 1, velocity 0.669809 -0.6511947 1.167733
11.5, target_spawn, target ID 42, grid ID 7
11.5, target_hit, target ID 41, grid ID 2, velocity 0.4248238 -0.9067069 0.9804862
11.8, target_hit, target ID 42, grid ID 7, velocity 0.5626371 -2.043216 1.100183
11.95, target_spawn, target ID 43, grid ID 5
12.2, target_hit, target ID 43, grid ID 5, velocity 0.3776164 -1.282015 1.629243
12.45, target_spawn, target ID 44, grid ID 7
12.6, target_hit, target ID 44, grid ID 7, velocity 0.4378586 -1.911872 1.083834
12.75, target_spawn, target ID 45, grid ID 1
12.85, target_spawn, target ID 46, grid ID 4
12.95, target_hit, target ID 45, grid ID 1, velocity 0.542014 -0.8264225 1.798766
13.15, target_spawn, target ID 47, grid ID 8
13.3, target_spawn, target ID 48, grid ID 6
13.3, target_hit, target ID 46, grid ID 4, velocity 0.617231 -1.303079 1.653255
13.55, target_spawn, target ID 49, grid ID 5
13.65, target_hit, target ID 48, grid ID 6, velocity 0.2028749 -1.834663 1.41498
13.95, target_spawn, target ID 50, grid ID 4
14.05, target_hit, target ID 49, grid ID 5, velocity 0.4679113 -1.781128 1.717345
14.1, target_hit, target ID 47, grid ID 8, velocity 0.468746 -1.52657 0.9838154
14.45, target_spawn, target ID 51, grid ID 5
14.45, target_hit, target ID 50, grid ID 4, velocity 0.5901825 -0.6662101 1.234907
14.75, target_spawn, target ID 52, grid ID 8
14.8, target_hit, target ID 51, grid ID 5, velocity 0.4609617 -1.540513 1.468981
14.85, target_spawn, target ID 53, grid ID 2
14.85, target_hit, target ID 52, grid ID 8, velocity 0.3420496 -1.56714 0.9061561
15.1, target_spawn, target ID 54, grid ID 0
15.2, target_spawn, target ID 55, grid ID 5
15.2, target_hit, target ID 53, grid ID 2, velocity 0.4976942 -0.7210944 1.664882
15.45, target_spawn, target ID 56, grid ID 6
15.5, target_spawn, target ID 57, grid ID 7
15.6, target_hit, target ID 54, grid ID 0, velocity 0.2113512 -0.6676608 1.100855
15.9, target_hit, target ID 57, grid ID 7, velocity 0.686779 -2.162503 1.49333
15.95, target_spawn, target ID 58, grid ID 3
16, target_spawn, target ID 59, grid ID 4
16.298, target_miss, target ID 55, grid ID 5
16.3, target_hit, target ID 59, grid ID 4, velocity 0.4419305 -0.8355607 1.060947
16.45, target_spawn, target ID 60, grid ID 7
16.548, target_miss, target ID 56, grid ID 6
16.65, target_hit, target ID 58, grid ID 3, velocity 0.03036159 -1.041261 0.9808713
16.75, target_spawn, target ID 61, grid ID 1
16.95, target_hit, target ID 61, grid ID 1, velocity 0.6225665 -0.9360017 1.69087
17.1, target_spawn, target ID 62, grid ID 0
17.35, target_hit, target ID 62, grid ID 0, velocity 0.09075332 -0.06248619 1.082285
17.5, target_spawn, target ID 63, grid ID 5
17.548, target_miss, target ID 60, grid ID 7
17.7, target_hit, target ID 63, grid ID 5, velocity 0.5409201 -1.270517 1.216353
17.95, target_spawn, target ID 64, grid ID 4
18.35, target_hit, target ID 64, grid ID 4, velocity 0.6888494 -1.037427 1.597264
18.4, target_spawn, target ID 65, grid ID 6
18.75, target_hit, target ID 65, grid ID 6, velocity 0.1339884 -0.734084 0.8147525
18.85, target_spawn, target ID 66, grid ID 2
19.05, target_spawn, target ID 67, grid ID 5
19.1, target_spawn, target ID 68, grid ID 8
19.1, target_hit, target ID 66, grid ID 2, velocity 0.6015913 -0.8636084 1.878223
19.15, target_hit, target ID 67, grid ID 5, velocity 0.8140678 -1.257988 1.232662
19.25, target_spawn, target ID 69, grid ID 6
19.55, target_hit, target ID 69, grid ID 6, velocity 0.04491779 -1.502875 1.08812
19.65, target_spawn, target ID 70, grid ID 3
19.7, target_spawn, target ID 71, grid ID 4
19.95, target_hit, target ID 70, grid ID 3, velocity 0.4335161 -0.9530208 1.14449
