condition mid, random seed 478654,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0,0,0,0,0,0,0,1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568,0,0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0,0,0,0,0,0,0,1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568,0,0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999,0,0,0,0,0,0,1, 0.1908342, 0.3651649, 0.1308555, -0.3331931, 0.05042658, 0.1829825, -0.9235567, 0.001594089, 1.169756, 0.1387185, -0.0873811, 2.179251E-08, 2.601528E-07, -0.996175, 0.1826771, 0.3130236, 0.1958235, -0.5943375, -0.4043584, -0.3904192, -0.5751784
0.15,0,0,0,0,0,0,1, 0.1777354, 0.4142854, 0.2194692, -0.2488941, 0.2223877, 0.08663744, -0.9386637, 0.001594121, 1.169707, 0.1387341, -0.0874247, 3.22037E-08, 3.546363E-07, -0.9961711, 0.1483483, 0.3773468, 0.2885925, -0.4316149, -0.3590094, -0.4544159, -0.691612
0.2,0,0,0,0,0,0,1, 0.1789455, 0.5662865, 0.3388076, -2.158732E-05, 0.2621539, -0.008219135, -0.9649911, 0.001594126, 1.169727, 0.1387019, -0.08733024, 3.352085E-08, 3.70683E-07, -0.9961794, 0.1454462, 0.56771, 0.4155009, -0.2081523, -0.454224, -0.3752539, -0.7807291
0.25,0,0,0,0,0,0,1, 0.1473581, 0.8068423, 0.3602136, 0.3201907, 0.2435574, -0.07787806, -0.9121912, 0.001594127, 1.169779, 0.1386366, -0.08713994, 3.281115E-08, 3.729673E-07, -0.9961961, 0.1149504, 0.8564653, 0.4193185, 0.05102167, -0.549744, -0.1927729, -0.8111825
0.3,0,0,0,0,0,0,1, 0.1331501, 0.9892498, 0.266671, 0.557206, 0.1745804, -0.05418486, -0.8100045, 0.001594128, 1.169787, 0.138626, -0.08711004, 3.154865E-08, 3.730654E-07, -0.9961987, 0.1140768, 1.066098, 0.2938121, 0.1970906, -0.5923717, 0.02599263, -0.7807533
0.35,0,0,0,0,0,0,1, 0.1492161, 1.054022, 0.2091563, 0.6470455, 0.09089725, -0.03381567, -0.7562581, 0.001594128, 1.169721, 0.1387065, -0.08734602, 3.154235E-08, 3.731598E-07, -0.996178, 0.1440123, 1.136771, 0.2206278, 0.2323765, -0.6321267, 0.1381259, -0.7261807
0.4,0,0,0,0,0,0,1, 0.1590731, 1.065377, 0.2419169, 0.6465777, 0.02974738, -0.09198793, -0.7566972, 0.001594127, 1.169706, 0.1387257, -0.08739974, 3.401122E-08, 3.737578E-07, -0.9961733, 0.1550333, 1.148237, 0.2530506, 0.250837, -0.6888685, 0.1191399, -0.669587
0.45,0,0,0,0,0,0,1, 0.1722038, 1.071018, 0.3156641, 0.5997531, 0.002311677, -0.1402463, -0.7877956, 0.001594127, 1.169745, 0.1386781, -0.08726064, 3.362839E-08, 3.736222E-07, -0.9961855, 0.1671117, 1.152102, 0.3358045, 0.2342553, -0.7268196, 0.05729884, -0.6430976
