condition low, random seed 762035
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.258819, 0, 0, -0.9659259, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.258819, 0, 0, -0.9659259, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1902559, 0.3544901, 0.1014546, -0.3704042, 0.04616833, 0.1737006, -0.9113163, 0.001594089, 1.169788, 0.1386791, -0.258819, 0, 0, -0.9659259, 0.1823243, 0.2973224, 0.1620767, -0.6096778, -0.3908299, -0.4152228, -0.5505772
0.15, 0, 0, 0, 0, 0, 0, 1, 0.2133251, 0.3657451, 0.12945, -0.3588513, 0.1896933, 0.02792743, -0.913489, 0.001594121, 1.169743, 0.1386892, -0.258819, 0, 0, -0.9659259, 0.1919281, 0.3114939, 0.1894923, -0.4662706, -0.3483809, -0.5448671, -0.6036078
0.2, 0, 0, 0, 0, 0, 0, 1, 0.2803584, 0.4018375, 0.1826892, -0.2746738, 0.2201888, -0.1219625, -0.9280066, 0.001594126, 1.169737, 0.138689, -0.258819, 0, 0, -0.9659259, 0.2600781, 0.357394, 0.2506567, -0.3117075, -0.4090105, -0.6000364, -0.6127849
0.25, 0, 0, 0, 0, 0, 0, 1, 0.3377122, 0.4557906, 0.2367739, -0.1759048, 0.2613302, -0.3182803, -0.8941262, 0.001594127, 1.169716, 0.1387135, -0.258819, 0, 0, -0.9659259, 0.3136737, 0.4217678, 0.3093734, -0.1002016, -0.4502766, -0.6640933, -0.5883799
0.3, 0, 0, 0, 0, 0, 0, 1, 0.380981, 0.5234998, 0.2914864, -0.04657815, 0.290794, -0.5481224, -0.7828354, 0.001594127, 1.169696, 0.1387375, -0.258819, 0, 0, -0.9659259, 0.348236, 0.4998509, 0.3647979, 0.1722163, -0.4687015, -0.7030749, -0.5063066
0.35, 0, 0, 0, 0, 0, 0, 1, 0.4098717, 0.6032241, 0.3445142, -0.1090863, -0.2860461, 0.749077, 0.5875045, 0.001594127, 1.169688, 0.1387481, -0.258819, 0, 0, -0.9659259, 0.3641915, 0.5873926, 0.4128427, -0.4580553, 0.4542183, 0.671082, 0.365404
0.4, 0, 0, 0, 0, 0, 0, 1, 0.4295708, 0.6799787, 0.3962977, -0.1867103, -0.2900862, 0.8397725, 0.4192513, 0.001594127, 1.169686, 0.13875, -0.258819, 0, 0, -0.9659259, 0.3765816, 0.6597936, 0.4578672, -0.6178856, 0.394595, 0.6296719, 0.2569549
0.45, 0, 0, 0, 0, 0, 0, 1, 0.4459428, 0.7634262, 0.4539772, -0.175233, -0.2816143, 0.8789626, 0.3426535, 0.001594127, 1.1697, 0.1387334, -0.258819, 0, 0, -0.9659259, 0.396497, 0.7382462, 0.5166445, -0.6563568, 0.3592905, 0.6363804, 0.1874198
