950.3975, target plane transform 0.1381315 0.8697966 0.3824 0.3826834 0 0 0.9238796
950.3975, grid mapping [0 0 0 -0.125  0.125 0.01313153 0.9405072 0.488466] [3 1 0 -0.125  0 0.01313153 0.8521189 0.4000777] [6 2 0 -0.125  -0.125 0.01313153 0.7637305 0.3116893] [1 0 1 0  0.125 0.1381315 0.9405072 0.488466] [4 1 1 0  0 0.1381315 0.8521189 0.4000777] [7 2 1 0  -0.125 0.1381315 0.7637305 0.3116893] [2 0 2 0.125  0.125 0.2631315 0.9405072 0.488466] [5 1 2 0.125  0 0.2631315 0.8521189 0.4000777] [8 2 2 0.125  -0.125 0.2631315 0.7637305 0.3116893]
954.4188, target_spawn, target ID 0, grid ID 6
954.7809, target_spawn, target ID 1, grid ID 1
954.8643, target_spawn, target ID 2, grid ID 0
955.5143, target_miss, target ID 0, grid ID 6
955.839, target_spawn, target ID 3, grid ID 5
955.8715, target_miss, target ID 1, grid ID 1
955.9572, target_miss, target ID 2, grid ID 0
956.1873, target_spawn, target ID 4, grid ID 6
956.5492, target_spawn, target ID 5, grid ID 0
956.6286, target_hit, target ID 3, grid ID 5, velocity -0.3800889 -0.1097978 -0.1489337
956.9529, target_spawn, target ID 6, grid ID 3
957.2, target_hit, target ID 6, grid ID 3, velocity -0.1607723 0.7249544 0.4930041
957.2857, target_miss, target ID 4, grid ID 6
957.3, target_hit, target ID 5, grid ID 0, velocity -0.1678164 0.6419185 0.3984569
957.524, target_spawn, target ID 7, grid ID 8
957.9, target_spawn, target ID 8, grid ID 1
957.9557, target_spawn, target ID 9, grid ID 2
958.5143, target_hit, target ID 9, grid ID 2, velocity -0.01524389 0.751267 0.4478707
958.6143, target_miss, target ID 7, grid ID 8
958.8324, target_spawn, target ID 10, grid ID 7
958.9439, target_spawn, target ID 11, grid ID 0
958.9857, target_miss, target ID 8, grid ID 1
959.4036, target_spawn, target ID 12, grid ID 5
959.4572, target_hit, target ID 11, grid ID 0, velocity -0.7894007 -0.007193584 -0.08996865
959.7795, target_spawn, target ID 13, grid ID 0
959.9286, target_miss, target ID 10, grid ID 7
960.2529, target_spawn, target ID 14, grid ID 7
960.3428, target_hit, target ID 12, grid ID 5, velocity 0.4783204 0.6996139 0.3162422
960.6707, target_spawn, target ID 15, grid ID 1
960.7857, target_hit, target ID 15, grid ID 1, velocity -0.7491685 0.3338299 0.2345521
960.8715, target_miss, target ID 13, grid ID 0
961.1024, target_spawn, target ID 16, grid ID 3
