condition hard, random seed 201676
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
288.3369, 0, 0, 0, 0, 0, 0, 1, 0.01651263, 1.0817, 0.3419538, -0.03422851, 0.02286851, 0.06850876, 0.9968009, -0.03089368, 1.21485, -0.08654082, -0.04297063, 0.003593462, 0.04840229, 0.9978967, 0.02951815, 1.090581, 0.4241613, 0.2431213, 0.6848776, 0.3149482, 0.6104444
292.3601, 0, 0, 0, 0, 0, 0, 1, 0.0790273, 0.9212133, 0.2638376, -0.2141101, -0.02463228, 0.01131509, 0.9764333, 0.01927793, 1.205108, -0.05993807, 0.02993908, 0.08050002, 0.00557165, 0.9962893, 0.08452952, 0.9577137, 0.3389611, 0.144667, 0.6783779, 0.1713936, 0.6996422
292.3743, 0, 0, 0, 0, 0, 0, 1, 0.07878363, 0.9210622, 0.263849, -0.213717, -0.02488916, 0.01135741, 0.9765125, 0.0191201, 1.205098, -0.06000388, 0.02996764, 0.08028937, 0.005851985, 0.9963039, 0.08424282, 0.9575033, 0.3390045, 0.144837, 0.6781593, 0.1717743, 0.6997256
292.3882, 0, 0, 0, 0, 0, 0, 1, 0.07842731, 0.9209169, 0.2638882, -0.2131852, -0.02541169, 0.01184425, 0.9766095, 0.01898813, 1.205092, -0.06006324, 0.03009323, 0.08023454, 0.006077379, 0.9963031, 0.08378307, 0.9572842, 0.3390869, 0.1447359, 0.6778758, 0.1726132, 0.6998149
292.4021, 0, 0, 0, 0, 0, 0, 1, 0.07803655, 0.9208006, 0.2639372, -0.2129134, -0.02574869, 0.01316723, 0.976643, 0.01885104, 1.205082, -0.06011105, 0.02990468, 0.08000889, 0.006289124, 0.9963257, 0.08328619, 0.9571459, 0.339154, 0.1439694, 0.6780014, 0.173743, 0.6995715
292.416, 0, 0, 0, 0, 0, 0, 1, 0.07781255, 0.9208093, 0.2639779, -0.2129899, -0.0256936, 0.01409499, 0.9766148, 0.01872694, 1.205086, -0.06014788, 0.02994799, 0.07980293, 0.006521856, 0.9963394, 0.08303482, 0.9571798, 0.3391844, 0.1433337, 0.6783226, 0.1742602, 0.6992621
292.4298, 0, 0, 0, 0, 0, 0, 1, 0.07761765, 0.9208519, 0.2639601, -0.2130651, -0.0258631, 0.0145459, 0.9765874, 0.01862693, 1.205077, -0.0601784, 0.02978196, 0.07974042, 0.006544516, 0.9963492, 0.08279464, 0.9572407, 0.3391609, 0.1429372, 0.6783562, 0.1745424, 0.6992403
292.4438, 0, 0, 0, 0, 0, 0, 1, 0.07752264, 0.920867, 0.2639157, -0.2132305, -0.02603086, 0.01441998, 0.9765486, 0.01856053, 1.20504, -0.06022179, 0.0297313, 0.07951056, 0.006608172, 0.9963686, 0.08267707, 0.9572795, 0.3391065, 0.1428503, 0.6782361, 0.1743952, 0.6994112
292.4577, 0, 0, 0, 0, 0, 0, 1, 0.07734764, 0.9209291, 0.26387, -0.2132136, -0.02647391, 0.01409119, 0.9765453, 0.01849198, 1.204979, -0.06025386, 0.02957573, 0.07942916, 0.006768723, 0.9963787, 0.08244295, 0.9573346, 0.3390682, 0.1429375, 0.6778468, 0.1743297, 0.699787
292.4716, 0, 0, 0, 0, 0, 0, 1, 0.07705736, 0.9210802, 0.2637769, -0.2132859, -0.02733503, 0.01367275, 0.9765117, 0.01838088, 1.204991, -0.06025589, 0.02981458, 0.07928115, 0.007151715, 0.9963807, 0.08202899, 0.9574917, 0.3389805, 0.1428902, 0.6771714, 0.1742674, 0.7004657
292.4855, 0, 0, 0, 0, 0, 0, 1, 0.07693684, 0.9211972, 0.2637554, -0.2135202, -0.0274003, 0.01373301, 0.9764578, 0.01825333, 1.205028, -0.06021798, 0.02984367, 0.07929055, 0.007458528, 0.9963768, 0.08189522, 0.9576456, 0.3389421, 0.1426663, 0.677184, 0.1741591, 0.7005262
