condition easy, random seed 979574
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
570.8522, 0, 0, 0, 0, 0, 0, 1, -0.02413034, 0.9657105, 0.2725507, 0.0726464, 0.01644634, 0.03196665, 0.9967096, -0.1026589, 1.1849, -0.08493674, 0.02952063, 0.05690464, 0.06798329, 0.9956248, -0.01121031, 0.9560286, 0.3546813, 0.3327169, 0.6374725, 0.362112, 0.5931301
574.8757, 0, 0, 0, 0, 0, 0, 1, 0.0484606, 0.9814767, 0.2089589, -0.3882515, -0.06871739, 0.02182978, 0.9187286, -0.03860748, 1.176993, -0.02984869, 0.07129949, 0.07272354, 0.0197517, 0.9946042, 0.04641376, 1.042571, 0.2661375, -0.003832176, 0.6688954, 0.06240024, 0.740723
574.8896, 0, 0, 0, 0, 0, 0, 1, 0.0484885, 0.9811699, 0.2089685, -0.3878023, -0.06873249, 0.02140712, 0.9189271, -0.03862309, 1.176978, -0.02979219, 0.07130834, 0.07276299, 0.0197622, 0.9946005, 0.04646745, 1.042206, 0.2662099, -0.003219306, 0.6687497, 0.06248322, 0.7408505
574.9036, 0, 0, 0, 0, 0, 0, 1, 0.04851377, 0.9808493, 0.2089798, -0.3873176, -0.06888258, 0.02117345, 0.9191257, -0.03863955, 1.176939, -0.02977037, 0.07139247, 0.07263029, 0.01986568, 0.9946021, 0.04648484, 1.041824, 0.2662865, -0.002745494, 0.6685647, 0.06275041, 0.7409968
574.9175, 0, 0, 0, 0, 0, 0, 1, 0.04854453, 0.9806118, 0.2089885, -0.3870741, -0.06882697, 0.02121776, 0.9192314, -0.03866374, 1.17691, -0.02974236, 0.07153051, 0.07262176, 0.0200675, 0.9945888, 0.04652074, 1.041557, 0.2663273, -0.002569944, 0.668608, 0.06294978, 0.7409414
574.9315, 0, 0, 0, 0, 0, 0, 1, 0.04858077, 0.980445, 0.2089571, -0.3871894, -0.06864816, 0.02133713, 0.9191934, -0.03868723, 1.176871, -0.02972782, 0.07151271, 0.07244713, 0.02038007, 0.9945964, 0.04657647, 1.041405, 0.2662805, -0.002677649, 0.6687685, 0.06288631, 0.7408015
574.9453, 0, 0, 0, 0, 0, 0, 1, 0.04860795, 0.9802392, 0.2089213, -0.3871892, -0.06860328, 0.02137776, 0.919196, -0.03873205, 1.176841, -0.02970278, 0.07151817, 0.07242025, 0.02018118, 0.994602, 0.04660778, 1.041199, 0.2662446, -0.002689302, 0.668811, 0.0628995, 0.7407621
574.9592, 0, 0, 0, 0, 0, 0, 1, 0.04861009, 0.9799383, 0.2089201, -0.3868225, -0.06887482, 0.02115307, 0.9193352, -0.0387727, 1.17681, -0.02968252, 0.07140698, 0.07246051, 0.01998229, 0.9946111, 0.04658296, 1.040851, 0.2662924, -0.002351061, 0.6685487, 0.06311564, 0.7409816
574.9731, 0, 0, 0, 0, 0, 0, 1, 0.04860854, 0.9796792, 0.2089469, -0.3863661, -0.06910086, 0.02101921, 0.9195133, -0.03877783, 1.176804, -0.02965188, 0.07134396, 0.07247971, 0.02006922, 0.9946125, 0.04655509, 1.040535, 0.2663794, -0.001988381, 0.6683409, 0.06344514, 0.741142
574.987, 0, 0, 0, 0, 0, 0, 1, 0.04862392, 0.9794708, 0.2090098, -0.3860905, -0.06899633, 0.02122903, 0.919632, -0.03874671, 1.176801, -0.0295825, 0.07128119, 0.07245105, 0.02032465, 0.9946139, 0.04657187, 1.040293, 0.2664774, -0.001879826, 0.6684642, 0.06375973, 0.741004
