condition medium, random seed 643334
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
413.7947, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.109516, 0.6809623, 0.2718579, -0.06316493, -0.04831717, 0.09417901, 0.9923739, -0.011145, 1.15603, -0.1214569, -0.02193117, -0.03442889, -0.004847365, 0.9991547, 0.1099773, 0.6941271, 0.3545173, 0.1854382, 0.6531546, 0.332987, 0.65431
417.8181, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1376193, 0.7053046, 0.2681456, -0.1129736, 0.002861639, 0.03693534, 0.9929072, -0.002756715, 1.159078, -0.132166, -0.04107796, 0.03339686, -0.01204956, 0.998525, 0.1471857, 0.7262682, 0.3486136, 0.2059721, 0.6837746, 0.2492133, 0.6541565
417.8322, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1375902, 0.7053674, 0.268114, -0.1131992, 0.002911086, 0.0369641, 0.9928803, -0.002801895, 1.159094, -0.132108, -0.04117297, 0.03326494, -0.01195281, 0.9985266, 0.1471627, 0.7263683, 0.3485716, 0.2058166, 0.6838655, 0.2490638, 0.6541674
417.8461, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1375395, 0.7054389, 0.2680689, -0.1134168, 0.002870567, 0.03700043, 0.9928542, -0.00287509, 1.159105, -0.1320496, -0.04123156, 0.03326344, -0.0119384, 0.9985244, 0.1471031, 0.7264755, 0.3485183, 0.2056345, 0.6838995, 0.2489519, 0.6542317
417.86, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1374518, 0.7054821, 0.2680316, -0.1136486, 0.002847877, 0.03731401, 0.992816, -0.002928615, 1.159099, -0.1320059, -0.04126289, 0.03321262, -0.01200088, 0.9985241, 0.1470028, 0.7265622, 0.348471, 0.2052673, 0.6840253, 0.2489985, 0.6541977
417.8739, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1373528, 0.7054698, 0.2680149, -0.1137015, 0.002748805, 0.03763227, 0.9927982, -0.002977252, 1.159065, -0.131968, -0.0411491, 0.03315394, -0.01192409, 0.9985316, 0.1468797, 0.7265642, 0.3484535, 0.2049942, 0.6840631, 0.2491921, 0.65417
417.8878, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1372428, 0.7054358, 0.2679985, -0.1137386, 0.002638052, 0.03801343, 0.9927797, -0.002998114, 1.159017, -0.1319219, -0.04099008, 0.03313015, -0.01186217, 0.9985397, 0.1467422, 0.7265431, 0.3484369, 0.2046872, 0.6841073, 0.2494392, 0.6541259
417.9018, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1371132, 0.7053823, 0.2679937, -0.1137133, 0.002491199, 0.03838116, 0.9927689, -0.00301981, 1.158973, -0.1318747, -0.04071674, 0.03313147, -0.01181564, 0.9985514, 0.1465799, 0.726492, 0.3484354, 0.20442, 0.6841105, 0.2497311, 0.6540947
417.9156, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1369982, 0.7053548, 0.2679768, -0.1137761, 0.002435562, 0.03888144, 0.9927423, -0.003053069, 1.158935, -0.1318419, -0.04055337, 0.03309193, -0.0118227, 0.9985592, 0.1464435, 0.7264839, 0.3484158, 0.2040344, 0.6842285, 0.2500185, 0.6539818
417.9295, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1369667, 0.7054009, 0.2679459, -0.1139611, 0.002419458, 0.03897851, 0.9927173, -0.003065586, 1.158917, -0.1318288, -0.04042541, 0.03307273, -0.0118988, 0.9985642, 0.1464059, 0.7265618, 0.3483773, 0.2038417, 0.6842874, 0.2499591, 0.654003
417.9434, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1369972, 0.7055407, 0.2678926, -0.1142938, 0.002596388, 0.03889413, 0.992682, -0.003072977, 1.158896, -0.1318275, -0.04032388, 0.03301641, -0.01194406, 0.9985696, 0.1464653, 0.7267545, 0.3483067, 0.2037264, 0.6844521, 0.2496277, 0.6539932
417.9574, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1374122, 0.7062154, 0.2676799, -0.1154122, 0.003973844, 0.0387339, 0.9925542, -0.003123164, 1.158868, -0.1318268, -0.04017636, 0.03303792, -0.01195572, 0.9985747, 0.1471034, 0.7276129, 0.3480188, 0.2034923, 0.6855364, 0.2483526, 0.6534156
417.9713, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1381823, 0.7078629, 0.267248, -0.1185262, 0.007052268, 0.03764606, 0.992212, -0.003165245, 1.158818, -0.1318288, -0.04010443, 0.03302228, -0.01179271, 0.99858, 0.1483856, 0.7297544, 0.3473901, 0.2030284, 0.6878873, 0.2446266, 0.6524943
417.9853, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1385468, 0.70965, 0.2668658, -0.1218169, 0.009215601, 0.03817053, 0.9917756, -0.003194094, 1.158785, -0.1318262, -0.04006276, 0.03293157, -0.01154574, 0.9985877, 0.1490709, 0.7320914, 0.3468142, 0.2011137, 0.6901361, 0.2420637, 0.6516677
417.9993, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1384211, 0.7122119, 0.2663072, -0.1270842, 0.01031682, 0.04128462, 0.9909788, -0.003189087, 1.158777, -0.1318349, -0.04008437, 0.03284476, -0.0112886, 0.9985926, 0.1490102, 0.7355688, 0.3459842, 0.1958494, 0.6928566, 0.2400973, 0.6511117
418.0131, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1381584, 0.7154137, 0.2659382, -0.1327848, 0.01080829, 0.04884977, 0.9898814, -0.003147483, 1.158822, -0.1318673, -0.04012617, 0.03285297, -0.0113843, 0.9985896, 0.1485821, 0.7398406, 0.3453156, 0.1871799, 0.6964746, 0.2407843, 0.649546
418.0271, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1382571, 0.7196225, 0.2646706, -0.1436503, 0.01184046, 0.05555668, 0.9879969, -0.003062248, 1.158895, -0.1318935, -0.04013748, 0.03312558, -0.01187323, 0.9985744, 0.148562, 0.7459259, 0.3434617, 0.1756929, 0.7012277, 0.2372112, 0.648955
418.0409, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1383555, 0.7246976, 0.263703, -0.1585032, 0.01396066, 0.06306913, 0.9852432, -0.002970099, 1.158968, -0.1318841, -0.04014573, 0.03392633, -0.01253233, 0.9985391, 0.148623, 0.7535207, 0.3416126, 0.1612121, 0.7075617, 0.2310032, 0.6480777
418.0548, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1385121, 0.7286903, 0.2630812, -0.1674091, 0.01443135, 0.06667195, 0.9835247, -0.002861381, 1.159025, -0.1318747, -0.0401598, 0.0345459, -0.01271492, 0.998515, 0.1486376, 0.7589905, 0.340447, 0.1528461, 0.7105329, 0.2269283, 0.6482937
418.0688, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1388901, 0.7324143, 0.2627461, -0.1740039, 0.01432355, 0.06736277, 0.9823338, -0.002707005, 1.159084, -0.1318688, -0.04034774, 0.03558239, -0.01283205, 0.9984695, 0.1488982, 0.7637613, 0.3397091, 0.1478062, 0.7118956, 0.2228135, 0.6493937
418.0827, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1399119, 0.7359062, 0.2627051, -0.1780752, 0.01655024, 0.06724385, 0.9815772, -0.002504587, 1.159158, -0.1318907, -0.04047502, 0.03672835, -0.01305676, 0.9984199, 0.1502373, 0.7679031, 0.3393581, 0.1457286, 0.7140196, 0.2192244, 0.6487527
418.0967, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1409652, 0.7392622, 0.2627313, -0.1799075, 0.02033222, 0.06806375, 0.9811153, -0.002232313, 1.159253, -0.1319352, -0.04093465, 0.03813148, -0.01288247, 0.9983509, 0.1518512, 0.7715878, 0.3391685, 0.1450339, 0.7169343, 0.2172871, 0.6463412
418.1105, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1417453, 0.7430984, 0.262835, -0.18167, 0.02374635, 0.07091159, 0.980512, -0.001922965, 1.159389, -0.1319652, -0.04159889, 0.03960226, -0.01284225, 0.9982666, 0.1530578, 0.7757815, 0.339058, 0.1429294, 0.7201171, 0.216756, 0.6434436
418.1244, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1429093, 0.74777, 0.2636039, -0.1802044, 0.02640233, 0.07379545, 0.9805017, -0.00155437, 1.159588, -0.1319437, -0.04217521, 0.04137313, -0.01270864, 0.9981723, 0.1545638, 0.7803055, 0.3398385, 0.1428109, 0.7222358, 0.2187264, 0.6404213
418.1382, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1450886, 0.7542521, 0.2648219, -0.1764706, 0.029766, 0.0718838, 0.9812262, -0.0009201765, 1.159877, -0.1319505, -0.04279795, 0.0430344, -0.01304892, 0.9980713, 0.1574027, 0.7861915, 0.3412047, 0.1476491, 0.723141, 0.2191015, 0.6381705
418.1522, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1490079, 0.7637298, 0.2657121, -0.1740832, 0.03314772, 0.05977341, 0.9823561, -0.000379324, 1.160047, -0.1319271, -0.04347639, 0.04542971, -0.01353343, 0.9979293, 0.1623228, 0.795049, 0.3421838, 0.1582977, 0.7216333, 0.2122289, 0.6396454
418.166, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1548848, 0.7769699, 0.2658013, -0.1800952, 0.04252567, 0.04116494, 0.981867, 0.0002708435, 1.160191, -0.1319087, -0.04411931, 0.04826172, -0.01392414, 0.9977627, 0.1703012, 0.8088157, 0.3416583, 0.1690748, 0.7234699, 0.1935239, 0.6407444
418.1801, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.1610414, 0.7923305, 0.265645, -0.1927556, 0.05253934, 0.02310436, 0.9795668, 0.0009834766, 1.160368, -0.1318746, -0.04455194, 0.05128131, -0.01420998, 0.9975888, 0.1786176, 0.8256652, 0.3403844, 0.1749055, 0.7267185, 0.1701666, 0.6421307
418.1939, -1.164797, 0.9050409, 1.370838, 0.6876993, -0.2741956, 0.5761792, 0.3462717, 0.16721, 0.8088979, 0.2657419, -0.2063247, 0.06185152, 0.00958075, 0.9764798, 0.001786351, 1.160408, -0.1318765, -0.04510286, 0.05448302, -0.01424462, 0.9973938, 0.1867043, 0.8439001, 0.3392329, 0.1767979, 0.7306634, 0.1490941, 0.6423742
