condition medium, random seed 21912
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.181762, 0.3572673, 0.1032594, -0.3489842, 0.03070002, 0.2036376, -0.9142206, 0.001594089, 1.16979, 0.1386769, -0.08725838, 2.244196E-08, 2.60319E-07, -0.9961857, 0.174951, 0.3024678, 0.1661619, -0.6207604, -0.3999324, -0.3785926, -0.5580128
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1812337, 0.3757526, 0.1385754, -0.3212408, 0.2263974, 0.08549269, -0.9155543, 0.001594121, 1.169737, 0.1386966, -0.08731534, 3.149467E-08, 3.544714E-07, -0.9961807, 0.1510116, 0.3283583, 0.2005956, -0.4687866, -0.3201954, -0.4957968, -0.6571907
0.2, 0, 0, 0, 0, 0, 0, 1, 0.2192167, 0.4224706, 0.1963771, -0.2106147, 0.3387571, -0.05518337, -0.915336, 0.001594126, 1.169743, 0.138682, -0.08727278, 3.273519E-08, 3.705054E-07, -0.9961845, 0.1768146, 0.3883848, 0.2599878, -0.2741582, -0.324367, -0.5484958, -0.7202609
0.25, 0, 0, 0, 0, 0, 0, 1, 0.2777448, 0.4789602, 0.2416791, -0.1127921, 0.379436, -0.2189292, -0.8918387, 0.001594127, 1.169752, 0.1386697, -0.08723722, 3.250301E-08, 3.729144E-07, -0.9961876, 0.2309579, 0.4528972, 0.3060049, -0.08742873, -0.3624336, -0.5953845, -0.711699
0.3, 0, 0, 0, 0, 0, 0, 1, 0.3484117, 0.5142238, 0.2668884, -0.08967569, 0.3700475, -0.3852117, -0.8406159, 0.001594127, 1.169739, 0.1386855, -0.0872836, 3.236668E-08, 3.73273E-07, -0.9961835, 0.3055599, 0.4848998, 0.3325384, 0.04663245, -0.3929062, -0.6682815, -0.6299603
0.35, 0, 0, 0, 0, 0, 0, 1, 0.4312973, 0.540943, 0.2801685, -0.09108561, 0.329235, -0.5473589, -0.7640065, 0.001594127, 1.169726, 0.1387007, -0.08732791, 3.277171E-08, 3.734306E-07, -0.9961796, 0.398149, 0.5077681, 0.349499, 0.160637, -0.4184905, -0.7371066, -0.505703
0.4, 0, 0, 0, 0, 0, 0, 1, 0.4964119, 0.5810831, 0.2968999, 0.07148518, -0.277806, 0.6858974, 0.6687738, 0.001594127, 1.169713, 0.138717, -0.08737584, 3.272573E-08, 3.734206E-07, -0.9961755, 0.4711796, 0.5502711, 0.3705209, -0.2753387, 0.4380732, 0.7685852, 0.376241
0.45, 0, 0, 0, 0, 0, 0, 1, 0.5059234, 0.6418804, 0.3446112, -0.0235752, -0.224296, 0.7915925, 0.5679056, 0.001594127, 1.169711, 0.1387189, -0.08738116, 3.2964E-08, 3.734733E-07, -0.996175, 0.4766909, 0.6232222, 0.4207915, -0.418158, 0.4681408, 0.7284101, 0.2746032
