0, target plane transform 0.151594 1.36992 0.438642 -0.3826834 0 0 0.9238796
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.475986 0.3679313] [3 1 0 -0.125  0 0.02659401 1.387598 0.4563197] [6 2 0 -0.125  -0.125 0.02659401 1.299209 0.544708] [1 0 1 0  0.125 0.151594 1.475986 0.3679313] [4 1 1 0  0 0.151594 1.387598 0.4563197] [7 2 1 0  -0.125 0.151594 1.299209 0.544708] [2 0 2 0.125  0.125 0.276594 1.475986 0.3679313] [5 1 2 0.125  0 0.276594 1.387598 0.4563197] [8 2 2 0.125  -0.125 0.276594 1.299209 0.544708]
0.09999999, target_spawn, target ID 0, grid ID 6
0.4, target_spawn, target ID 1, grid ID 1
0.55, target_spawn, target ID 2, grid ID 0
0.7, target_hit, target ID 1, grid ID 1, velocity -1.447455 1.807639 -0.677958
1.1, target_spawn, target ID 3, grid ID 5
1.198, target_miss, target ID 0, grid ID 6
1.25, target_hit, target ID 3, grid ID 5, velocity 0.3053779 0.5553796 -0.3248093
1.55, target_spawn, target ID 4, grid ID 1
1.648, target_miss, target ID 2, grid ID 0
1.75, target_hit, target ID 4, grid ID 1, velocity -0.6686229 0.1316865 -0.1527897
2, target_spawn, target ID 5, grid ID 5
2.25, target_hit, target ID 5, grid ID 5, velocity 0.2450101 0.09893285 -0.07846818
2.45, target_spawn, target ID 6, grid ID 0
2.55, target_spawn, target ID 7, grid ID 6
2.65, target_spawn, target ID 8, grid ID 7
2.75, target_hit, target ID 8, grid ID 7, velocity -0.3502366 -0.2863873 0.1146843
3.15, target_spawn, target ID 9, grid ID 5
3.5, target_hit, target ID 9, grid ID 5, velocity 0.1053602 -0.06635472 0.01917469
3.548, target_miss, target ID 6, grid ID 0
3.648, target_miss, target ID 7, grid ID 6
3.9, target_spawn, target ID 10, grid ID 7
4.1, target_hit, target ID 10, grid ID 7, velocity -0.1164717 -0.1397165 0.05963454
4.4, target_spawn, target ID 11, grid ID 4
4.55, target_hit, target ID 11, grid ID 4, velocity 0.004840434 0.1317704 -0.1114949
4.7, target_spawn, target ID 12, grid ID 1
4.85, target_hit, target ID 12, grid ID 1, velocity -0.350997 0.4263796 -0.3015394
4.9, target_spawn, target ID 13, grid ID 8
5.1, target_hit, target ID 13, grid ID 8, velocity 0.6859391 -0.7081224 0.512904
5.15, target_spawn, target ID 14, grid ID 7
